"unit","nace_r2","indic_se","geo","time","values"
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Germany",2023-01-01,45.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Luxembourg",2023-01-01,49.9
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Malta",2023-01-01,43.8
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Portugal",2023-01-01,54.7
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Germany",2023-01-01,54.3
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Luxembourg",2023-01-01,63.7
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Malta",2023-01-01,52.7
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Portugal",2023-01-01,71.4
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Germany",2023-01-01,45.2
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Luxembourg",2023-01-01,47.3
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Malta",2023-01-01,42.6
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Portugal",2023-01-01,55.2
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Germany",2023-01-01,52.9
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Luxembourg",2023-01-01,59.4
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Malta",2023-01-01,50.1
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Portugal",2023-01-01,71.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Albania",2022-01-01,58.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Bulgaria",2022-01-01,39.5
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Czechia",2022-01-01,40.5
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Germany",2022-01-01,41.8
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Estonia",2022-01-01,38.8
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Spain",2022-01-01,50.3
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Croatia",2022-01-01,47
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Hungary",2022-01-01,42.1
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Lithuania",2022-01-01,44.3
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Luxembourg",2022-01-01,48.2
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Latvia",2022-01-01,38.5
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Montenegro",2022-01-01,62
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Malta",2022-01-01,46.9
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Poland",2022-01-01,47.61
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Portugal",2022-01-01,52.6
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Serbia",2022-01-01,45.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Slovenia",2022-01-01,61.1
"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","Slovakia",2022-01-01,42.9
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Albania",2022-01-01,85
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Germany",2022-01-01,50
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Luxembourg",2022-01-01,59.4
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Malta",2022-01-01,58.6
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Portugal",2022-01-01,70.5
"Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","Slovakia",2022-01-01,53.4
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Albania",2022-01-01,55.1
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Bulgaria",2022-01-01,39.2
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Czechia",2022-01-01,40
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Germany",2022-01-01,41.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Estonia",2022-01-01,38.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Spain",2022-01-01,47.6
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Croatia",2022-01-01,45.6
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Hungary",2022-01-01,42.4
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Lithuania",2022-01-01,43.7
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Luxembourg",2022-01-01,47.9
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Latvia",2022-01-01,38.9
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Montenegro",2022-01-01,60.3
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Malta",2022-01-01,43.6
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Poland",2022-01-01,47.87
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Portugal",2022-01-01,52.9
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Serbia",2022-01-01,45.6
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Slovenia",2022-01-01,59.4
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","Slovakia",2022-01-01,43.2
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Albania",2022-01-01,73.5
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Germany",2022-01-01,48.8
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Luxembourg",2022-01-01,57.9
"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","Malta",2022-01-01,52.8
