"geo","time","unit.x","nace_r2","indic_se","values.x","indic_em","sex","age","unit.y","values.y"
"Bulgaria",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",41.5,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",73.2
"Bulgaria",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",41.5,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",77.2
"Bulgaria",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",40.7,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",73.2
"Bulgaria",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",40.7,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",77.2
"Croatia",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",44.9,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",68.2
"Croatia",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",44.9,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",73.5
"Croatia",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",46.6,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",68.2
"Croatia",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",46.6,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",73.5
"Czechia",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",40.9,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",80
"Czechia",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",40.9,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",82.2
"Czechia",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",39.5,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",80
"Czechia",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",39.5,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",82.2
"Estonia",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",37.6,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",84.5
"Estonia",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",37.6,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",79.3
"Estonia",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",37.9,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",84.5
"Estonia",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",37.9,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",79.3
"France",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",47.1,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",79.2
"France",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",47.1,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",73.2
"France",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",48.6,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",79.2
"France",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",48.6,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",73.2
"Germany",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",40,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",82.3
"Germany",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",40,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",79.4
"Germany",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",39.7,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",82.3
"Germany",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",39.7,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",79.4
"Hungary",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",41.3,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",82
"Hungary",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",41.3,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",78.8
"Hungary",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",40.5,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",82
"Hungary",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",40.5,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",78.8
"Latvia",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",41.7,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",81.6
"Latvia",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",41.7,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",75.3
"Latvia",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",41.6,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",81.6
"Latvia",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",41.6,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",75.3
"Lithuania",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",44.8,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",83.5
"Lithuania",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",44.8,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",77.4
"Lithuania",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",43.7,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",83.5
"Lithuania",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",43.7,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",77.4
"Luxembourg",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",48.8,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",74.1
"Luxembourg",2021-01-01,"Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",48.8,"Persons in the labour force (former name: active persons)","Total","From 20 to 64 years","Percentage of total population",77.9
"Luxembourg",2021-01-01,"Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",48.5,"Total employment (resident population concept - LFS)","Total","From 20 to 64 years","Percentage of total population",74.1
